Start_Time,weather_mode,accident_count,Temp_avg,Humidity_avg
2016-05-09,Clear,622.0,63.16852776044916,62.503810663021184
2016-05-10,Clear,762.0,64.34892016528549,63.03426705933384
2016-05-11,Clear,750.0,66.54319529768676,62.55476298824422
2016-05-12,Clear,796.0,66.81105243240687,61.23238118407093
2016-05-13,Clear,25.0,60.68210526315789,80.47894736842105
2016-05-16,Clear,572.0,66.89298286695546,52.893240448034966
2016-05-17,Clear,718.0,68.26556603773585,56.22537878787879
2016-05-18,Clear,964.0,69.50488692568513,57.39836865470673
2016-05-19,Clear,768.0,65.35225577313368,61.7758351160112
2016-05-20,Mostly Cloudy,1006.0,62.40917609893033,55.75819746376811
2016-05-21,Clear,367.0,59.65884787055979,61.73643639220308
2016-05-22,Clear,362.0,61.17915173237754,61.30025388291517
